"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2013JP3731RTRIA",58,NA,27.6,"partly cloudy ","trial round ",0.61,-0.01,-0.46,17,50,50,14
"2013JP3731RL",59,NA,25.9,"cloudy ","1st round ",0.49,-0.12,-0.52,18,50,50,14
"2013JP3731RL",61,NA,25.5,"cloudy ","final round ",0.27,-0.09,-0.48,18,30,30,11
"2013JP3730RLT",45,NA,24,"sunny ","1st round ",1.85,0.8,-0.26,15,61,61,18
"2013JP3730RLT",45,NA,24,"sunny ","2nd round ",2.01,0.77,-0.38,18,61,61,18
"2013JP3730RLQ",54,NA,24.4,"sunny ","qualification ",1.92,0.73,-0.29,18,57,60,18
"2013JP3729RTRIA",27,NA,32.7,"sunny ","trial round ",1.54,0.56,-0.61,20,50,50,15
"2013JP3729RL",26,NA,33.8,"sunny ","1st round ",1.64,0.33,-1.15,20,49,50,15
"2013JP3729RL",33,NA,31.7,"sunny ","final round ",1.72,0.65,-0.37,20,30,30,14
"2013JP3727RTRIA",45,NA,24,"sunny ","trial round ",0.04,-0.42,-1.14,12,47,47,12
"2013JP3727RL",57,NA,20.3,"clear ","1st round ",-0.06,-0.48,-0.98,31,48,48,12
"2013JP3727RL",64,NA,18.7,"clear ","final round ",-0.01,-0.5,-1.16,32,32,32,8
"2013JP3726RTRIA",68,NA,20.8,"sunny ","trial round ",0.88,0.15,-0.26,27,49,49,15
"2013JP3726RLT",70,NA,19,"sunny ","1st round ",2.35,0.95,-0.05,26,41,41,14
"2013JP3726RLT",70,NA,19,"sunny ","2nd round ",2.18,1.23,0.05,25,37,37,14
"2013JP3726RL",70,NA,20.4,"sunny ","1st round ",0.11,-0.28,-0.82,28,51,51,15
"2013JP3726RL",61,NA,18.1,"clear ","final round ",0.12,-0.29,-0.67,29,30,30,12
"2013JP3724RTRIA",37,NA,22,"sunny ","trial round ",0.95,-0.1,-0.93,25,49,49,14
"2013JP3724RLT",50,NA,21.2,"sunny ","1st round ",1.26,0.76,0.29,20,62,62,18
"2013JP3724RLT",46,NA,22,"sunny ","2nd round ",1.55,1.09,0.47,21,61,61,18
"2013JP3724RLQ",45,NA,23,"sunny ","qualification ",1.88,1.09,0.28,22,57,58,18
"2013JP3724RL",42,NA,21,"partly cloudy ","1st round ",0.25,-0.59,-1.15,26,48,50,15
"2013JP3724RL",60,NA,20,"partly cloudy ","final round ",-0.55,-1.16,-1.41,28,30,30,11
"2013JP3723RTRIA",37,NA,25,"sunny ","trial round ",2.04,0.89,-0.47,12,46,46,14
"2013JP3723RLT",58,NA,20,"sunny ","1st round ",1.66,0.71,-0.21,14,49,49,14
"2013JP3723RLT",50,NA,22,"sunny ","2nd round ",2.15,1.14,-0.2,13,47,47,13
"2013JP3723RL",29,NA,24,"sunny ","1st round ",1.6,0.39,-0.43,15,47,47,14
"2013JP3723RL",33,NA,24,"partly cloudy ","final round ",1.27,0,-0.85,18,30,30,13
"2013JP3722RTRIA",45,NA,21,"sunny ","trial round ",0.44,-0.25,-0.91,1,51,51,13
"2013JP3722RLT",60,NA,19,"sunny ","1st round ",1.13,0.56,0.13,10,40,40,13
"2013JP3722RLT",60,NA,19,"sunny ","2nd round ",1.58,1.05,0.3,11,42,42,14
"2013JP3722RL",45,NA,20,"clear ","1st round ",-0.2,-0.76,-1.52,19,51,52,13
"2013JP3722RL",48,NA,19,"clear ","final round ",-0.39,-1.16,-1.72,20,36,36,9
"2013JP3713RTRIA",75,NA,18,"overcast ","trial round ",1.09,0.38,-0.41,21,50,50,15
"2013JP3713RL",54,NA,18,"overcast ","1st round ",0.8,0.07,-0.42,23,50,50,15
"2013JP3713RL",58,NA,17,"overcast ","final round ",0.18,-0.2,-0.61,24,30,30,12
"2013JP3712RTRIA",76,NA,21,"cloudy ","trial round ",1.11,0.53,-0.07,4,44,44,11
"2013JP3712RL",72,NA,18,"cloudy ","final round ",0.63,0.02,-0.54,23,44,44,11
"2013JP3711RLT",70,NA,22,"rain ","1st round ",2.63,1.07,-0.62,17,66,66,16
"2013JP3711RLT",65,NA,21,"cloudy/rain ","2nd round ",2.61,0.82,-1.24,17,66,66,16
"2013JP3711RLQ",68,NA,19,"cloudy ","qualification ",1.69,0.4,-1.05,18,66,66,15
"2012JP3061RLT",35,NA,23.2,"sunny ","1st round ",0.19,-0.42,-0.96,19,68,68,16
"2012JP3061RLT",39,NA,22.4,"sunny ","2nd round ",0,-0.61,-1.19,21,69,69,17
"2012JP3061RLQ",46,NA,17.4,"clear ","qualification ",0,-0.21,-0.48,21,69,69,17
"2012JP3060RTRIA",42,NA,22.5,"sunny ","trial round ",1.42,0.27,-0.83,15,46,46,13
"2012JP3060RL",48,NA,20.3,"sunny ","1st round ",1.42,0.13,-0.91,18,50,50,13
"2012JP3060RL",51,NA,19.6,"sunny ","final round ",0.6,-0.22,-1.06,18,30,30,11
"2012JP3057RLT",36,NA,24.4,"sunny ","1st round ",2.62,1.03,-0.14,2,65,65,16
"2012JP3057RLT",36,NA,25,"sunny ","2nd round ",2.51,1.22,0.05,1,66,66,16
"2012JP3057RLQ",40,NA,23,"sunny ","qualification ",1.89,0.25,-0.69,2,65,65,15
"2012JP3056RTRIA",57,NA,22,"sunny ","trial round ",2.08,0.7,-0.16,3,50,50,15
"2012JP3056RL",53,NA,23,"sunny ","1st round ",1.89,0.7,-0.25,3,49,51,15
"2012JP3056RL",45,NA,24,"sunny ","final round ",1.34,0.53,0.05,5,30,30,12
"2012JP3045RTRIA",41,NA,22,"partly cloudy ","trial round ",0.79,0.22,-0.17,15,39,39,12
"2012JP3045RLT",31,NA,18,"partly cloudy ","1st round ",0.84,0.59,0.17,13,21,21,7
"2012JP3045RLT",31,NA,17.8,"partly cloudy ","2nd round ",1.24,0.74,0.31,14,21,21,7
"2012JP3045RLT",31,NA,18.2,"partly cloudy ","3rd round ",0.83,0.59,0.21,15,11,11,4
"2012JP3045RL",63,NA,18.6,"partly cloudy ","1st round ",-0.95,-1.49,-1.78,20,39,39,12
"2012JP3045RL",58,NA,17.2,"partly cloudy ","final round ",-0.88,-1.77,-2.08,23,30,30,10
"2012JP3042RTRIA",96,NA,21.8,"partly cloudy ","trial round ",0.52,0.31,0,11,35,35,11
"2012JP3042RL",94,NA,20.5,"partly cloudy ","1st round ",1.05,0.46,-0.12,12,35,35,11
"2012JP3042RL",95,NA,20.1,"cloudy ","final round ",0.83,0.26,-0.36,12,30,30,11
"2012JP3041RTRIA",89,NA,22.3,"partly cloudy ","trial round ",-0.15,-0.43,-0.66,13,40,40,11
"2012JP3041RL",96,NA,20.6,"partly cloudy ","1st round ",0.23,-0.22,-0.56,14,40,40,11
